country,confirmedCases,reportedDeaths
United States,1206886,71463
Russia,165929,1537
Brazil,114715,7921
Canada,62458,4111
Peru,51189,1444
Ecuador,31881,1569
Mexico,26025,2507
Chile,22016,275
Chile,22016,275
Dominican Republic,8807,362
Colombia,8613,378
South Africa,7572,148
Panama,7523,210
Morocco,5382,182
Argentina,5020,264
Kazakhstan,4344,30
Nigeria,2950,98
Ghana,2719,18
Cameroon,2265,64
Uzbekistan,2231,10
Puerto Rico,1968,99
Guinea,1811,10
Bolivia,1802,86
Iceland,1799,10
Cuba,1685,69
Senegal,1433,12
Honduras,1270,93
Somalia,835,38
Guatemala,763,19
Costa Rica,755,6
Burkina Faso,688,48
Uruguay,670,17
Kenya,582,26
Channel Islands,545,38
Tanzania,480,16
Jamaica,473,9
Paraguay,431,10
Gabon,397,6
Venezuela,367,10
Rwanda,261,0
Congo,236,10
Martinique,182,14
Martinique,182,14
Liberia,178,20
Ethiopia,162,4
Guam,151,5
Gibraltar,144,0
French Guiana,138,1
Togo,128,9
Trinidad and Tobago,116,8
Cruise ship (Grand Princess),103,3
Aruba,101,2
Guyana,93,10
Bahamas,89,11
Barbados,82,7
Cayman Islands,78,1
Mongolia,41,0
Saint Martin,38,3
Namibia,16,0
Greenland,11,0
Seychelles,11,0
Saint Barthelemy,6,0
